run_id,date,phase,task,model,preprocessing,recipe,seed,split,macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,macro_f1_ci_low,macro_f1_ci_high,p95_ms,size_mb,fit_seconds,notes,git_sha
p1-sent-b0-raw-base-s42-val,2026-09-22,P1,sentiment,b0,raw,base,42,validation,0.2247,0.3429,0.5085,0.3333,0.0,0.217,0.2317,,,0.0,B0 majority class,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b0b-raw-base-s42-val,2026-09-22,P1,sentiment,b0b,raw,base,42,validation,0.3472,0.4739,0.4738,0.3474,0.0288,0.3234,0.372,,,0.0,B0b stratified random,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b1-raw-base-s42-val,2026-09-22,P1,sentiment,b1,raw,base,42,validation,0.7366,0.9023,0.9103,0.7104,0.8317,0.694,0.7784,,,42.9,B1 TF-IDF word 1-2g + LR,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b1-raw-thresh-s42-val,2026-09-22,P1,sentiment,b1,raw,threshold-tuned,42,validation,0.772,0.9038,0.9002,0.7936,0.8181,0.7375,0.8055,,,42.9,per-class priors tuned on dev for macro-F1,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b2-raw-base-s42-val,2026-09-22,P1,sentiment,b2,raw,base,42,validation,0.7526,0.9005,0.9052,0.7314,0.8227,0.7118,0.7931,,,18.45,B2 TF-IDF char_wb 3-5g + LR,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b2-raw-thresh-s42-val,2026-09-22,P1,sentiment,b2,raw,threshold-tuned,42,validation,0.7761,0.8942,0.8882,0.8201,0.8021,0.7424,0.8084,,,18.45,per-class priors tuned on dev for macro-F1,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b3-raw-base-s42-val,2026-09-22,P1,sentiment,b3,raw,base,42,validation,0.7547,0.9064,0.9109,0.7355,0.8335,0.7136,0.7941,,,8.99,B3 TF-IDF word+char union + LR,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b3-raw-thresh-s42-val,2026-09-22,P1,sentiment,b3,raw,threshold-tuned,42,validation,0.7823,0.9058,0.9046,0.7902,0.8269,0.7455,0.815,,,8.99,per-class priors tuned on dev for macro-F1,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b4-raw-base-s42-val,2026-09-22,P1,sentiment,b4,raw,base,42,validation,0.7637,0.9067,0.9122,0.7365,0.8355,0.7208,0.8021,,,5.05,B4 TF-IDF union + LinearSVC,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b5-raw-base-s42-val,2026-09-22,P1,sentiment,b5,raw,base,42,validation,0.7679,0.8988,0.8945,0.7938,0.8084,0.7329,0.8014,,,8.32,"B5 TF-IDF union + LR, class-weighted",42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-sent-b5-raw-thresh-s42-val,2026-09-22,P1,sentiment,b5,raw,threshold-tuned,42,validation,0.7745,0.9006,0.8964,0.8012,0.8151,0.7399,0.8057,,,8.32,per-class priors tuned on dev for macro-F1,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b0-raw-base-s42-val,2026-09-22,P1,topic,b0,raw,base,42,validation,0.2105,0.6122,0.7271,0.25,0.0,0.2068,0.2141,,,0.0,B0 majority class,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b0b-raw-base-s42-val,2026-09-22,P1,topic,b0b,raw,base,42,validation,0.2373,0.5428,0.5395,0.2378,-0.0371,0.217,0.259,,,0.0,B0b stratified random,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b1-raw-base-s42-val,2026-09-22,P1,topic,b1,raw,base,42,validation,0.7486,0.8704,0.8768,0.7243,0.7107,0.7155,0.7826,,,44.02,B1 TF-IDF word 1-2g + LR,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b1-raw-thresh-s42-val,2026-09-22,P1,topic,b1,raw,threshold-tuned,42,validation,0.7699,0.875,0.8787,0.7557,0.7205,0.7368,0.802,,,44.02,per-class priors tuned on dev for macro-F1,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b2-raw-base-s42-val,2026-09-22,P1,topic,b2,raw,base,42,validation,0.7345,0.8525,0.8579,0.7027,0.6642,0.7001,0.7672,,,21.1,B2 TF-IDF char_wb 3-5g + LR,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b2-raw-thresh-s42-val,2026-09-22,P1,topic,b2,raw,threshold-tuned,42,validation,0.7541,0.857,0.8629,0.7388,0.6746,0.7223,0.7868,,,21.1,per-class priors tuned on dev for macro-F1,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b3-raw-base-s42-val,2026-09-22,P1,topic,b3,raw,base,42,validation,0.7529,0.8667,0.8711,0.7258,0.6981,0.7178,0.7852,,,9.47,B3 TF-IDF word+char union + LR,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b3-raw-thresh-s42-val,2026-09-22,P1,topic,b3,raw,threshold-tuned,42,validation,0.7741,0.8723,0.8749,0.7638,0.7161,0.7407,0.8053,,,9.47,per-class priors tuned on dev for macro-F1,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b4-raw-base-s42-val,2026-09-22,P1,topic,b4,raw,base,42,validation,0.7682,0.8745,0.88,0.7503,0.7197,0.7351,0.8005,,,5.25,B4 TF-IDF union + LinearSVC,42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b5-raw-base-s42-val,2026-09-22,P1,topic,b5,raw,base,42,validation,0.7442,0.8474,0.8395,0.7851,0.6727,0.7139,0.7722,,,9.7,"B5 TF-IDF union + LR, class-weighted",42ed392323e6d8b96262fbc60e5df42a05bf3573
p1-topi-b5-raw-thresh-s42-val,2026-09-22,P1,topic,b5,raw,threshold-tuned,42,validation,0.7648,0.8715,0.8781,0.7413,0.7091,0.7334,0.796,,,9.7,per-class priors tuned on dev for macro-F1,42ed392323e6d8b96262fbc60e5df42a05bf3573
p2-sent-phobert-base-raw-base-s42-val,2026-09-22,P2,sentiment,phobert-base,raw,base,42,validation,0.8566,0.9457,0.9482,0.8237,0.9035,0.8204,0.8897,,,275.9,Phase 2 reference configuration,e26ded55d55858c3f31b503ded489a1a790d0168
p2-sent-phobert-base-raw-base-s1337-val,2026-09-22,P2,sentiment,phobert-base,raw,base,1337,validation,0.8355,0.9418,0.9438,0.8166,0.8955,0.7971,0.8693,,,275.7,Phase 2 reference configuration,e26ded55d55858c3f31b503ded489a1a790d0168
p2-sent-phobert-base-raw-base-s2024-val,2026-09-22,P2,sentiment,phobert-base,raw,base,2024,validation,0.8428,0.9423,0.945,0.8131,0.8975,0.8039,0.8767,,,275.5,Phase 2 reference configuration,e26ded55d55858c3f31b503ded489a1a790d0168
p2-sent-phobert-base-raw-base-s7-val,2026-09-22,P2,sentiment,phobert-base,raw,base,7,validation,0.8401,0.9402,0.9425,0.8154,0.8929,0.8021,0.8743,,,276.6,Phase 2 reference configuration,e26ded55d55858c3f31b503ded489a1a790d0168
p2-sent-phobert-base-raw-base-s31337-val,2026-09-22,P2,sentiment,phobert-base,raw,base,31337,validation,0.8432,0.9434,0.945,0.8254,0.8978,0.8063,0.8753,,,275.5,Phase 2 reference configuration,e26ded55d55858c3f31b503ded489a1a790d0168
p2-topi-phobert-base-raw-base-s42-val,2026-09-22,P2,topic,phobert-base,raw,base,42,validation,0.7988,0.8893,0.8913,0.7846,0.751,0.7675,0.8296,,,277.2,Phase 2 reference configuration,e26ded55d55858c3f31b503ded489a1a790d0168
p2-topi-phobert-base-raw-base-s1337-val,2026-09-22,P2,topic,phobert-base,raw,base,1337,validation,0.7948,0.8846,0.8857,0.7815,0.7413,0.7625,0.8246,,,277.2,Phase 2 reference configuration,e26ded55d55858c3f31b503ded489a1a790d0168
p2-topi-phobert-base-raw-base-s2024-val,2026-09-22,P2,topic,phobert-base,raw,base,2024,validation,0.7959,0.8893,0.8913,0.7811,0.7489,0.7638,0.8262,,,277.6,Phase 2 reference configuration,090d4a4fed2c31e7ef3252a104e4bfdf716a818f
p2-topi-phobert-base-raw-base-s7-val,2026-09-22,P2,topic,phobert-base,raw,base,7,validation,0.797,0.8911,0.8926,0.7899,0.7557,0.7639,0.8259,,,277.1,Phase 2 reference configuration,090d4a4fed2c31e7ef3252a104e4bfdf716a818f
